fields_energy_stored_in_Ez,[37.980133047629174]
fields_energy_stored_in_H,[37.59817005899595]
fields_overlap_Ez,[(0.5744080891404154+0j)]
fields_overlap_Hx,[(3.778044332864532e-37+0j)]
fields_overlap_Hy,[(2.5054833604549053e-34+0j)]
fields_overlap_rephased_Ez,[(0.574408089140412-6.046288687484293e-08j)]
fields_overlap_rephased_Hx,[(1.0261763487778747e-37+1.1224522184177825e-44j)]
fields_overlap_rephased_Hy,[(3.5387792566976672e-34-5.273192013349663e-41j)]
fields_asymmetry_Ez,[0j]
fields_asymmetry_Hx,[0j]
fields_asymmetry_Hy,[0j]
steady_state_fields_overlap_Ez,[(0.5744081576679904+0j)]
steady_state_fields_overlap_Hx,[(2.342714756946421e-36+0j)]
steady_state_fields_overlap_Hy,[(7.508971816790322e-35+0j)]
steady_state_fields_overlap_rephased_Ez,[(0.5744081576679904-5.145990267647594e-09j)]
steady_state_fields_average_Ez_norm,[3276652256.7816]
steady_state_fields_E_field_norm_antenna,[(0.8546928755071055+0j)]
steady_state_fields_E_field_norm_antenna_amp,[(0.8546928755071054+0j)]
frequencies,[[0.039038778208369755]]
modes,"[[Mode(freq=0.039038778208369755, decay=-1.119640062669125e-11, Q=1743362867.674844, amp=(6.831837698576423+184.4903492424438j), err=(1.3916940851246982e-12+0j))]]"
